"additionalInfo/info/Accessibility/0","additionalInfo/info/Accessibility/1","additionalInfo/info/Accessibility/2","additionalInfo/info/Accessibility/3","additionalInfo/info/Amenities/0","additionalInfo/info/Crowd/0","additionalInfo/info/Crowd/1","additionalInfo/info/From the business/0","additionalInfo/info/Parking/0","additionalInfo/info/Parking/1","additionalInfo/info/Parking/2","additionalInfo/info/Planning/0","additionalInfo/info/Planning/1","additionalInfo/info/Service options/0","additionalInfo/info/Service options/1","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","cid","city","country","country_code","country_name","display_rank","gid","isClaimed","language_code","language_name","latitude","longDescription","longitude","name","neighborhood","original_rank","phone","phoneIsd","photo","photoCount","placeId","priceRange","priceRangeText","providerId","rating","reviewCount","searchLocation","searchTerm","shortDescription","social/facebook/0","social/instagram/0","social/linkedin/0","social/twitter/0","social/youtube/0","state","status","street","timestamp","uncertain_emails/0","uncertain_emails/1","uncertain_emails/2","uncertain_emails/3","uncertain_emails/4","uncertain_emails/5","uncertain_emails/6","uncertain_emails/7","url","website","website_emails/0","website_emails/1","website_emails/2","website_emails/3","website_emails/4","website_emails/5","website_emails/6","website_emails/7","website_emails/8","website_emails/9","website_emails/10","website_emails/11","zip"
"Wheelchair accessible entrance",,,,,,,,,,,,,"Onsite services","Online appointments","Kamienicka 11, 60-164 Poznań, Poland","Bookkeeping service","Accounting firm",,,,,,,,"2860132865285517867","Poznań","PL","us","United States","1","0x4704451761cf7a37:0x27b13baff5c3722b","Yes","en","English","52.3797547","","16.8506592","Wikom Biuro Rachunkowe","Grunwald","21","61 863 02 81","+48 61 863 02 81","https://lh3.googleusercontent.com/gps-cs-s/AHVAweq_3xZ1FSUkLBo1jdGKsCba6vNgcAir12WaoWzuaAmITJmCcYcSVLI4tSZK2h51McTKNgn5JLlroxzs3IuG-KtNnmG4gOc1lcJHdlWlFfgUbR-twrFSOfDQRhMr7Y_jLJr9lk47FA=w4032-h3024-k-no","5","YEeoacLMGOurw8cP-97NcQ","","","/g/1tnqfpkv","4.8","28","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Kamienicka 11","2026-03-04 15:53:21.039480","biuro@bsie.waw.pl","leszek@bsie.waw.pl",,,,,,,"https://google.com/maps?cid=2860132865285517867","https://wikombiuro.pl","wikom@wikombiuro.pl",,,,,,,,,,,,"60-164"
,,,,,,,,,,,"Appointment required",,"Onsite services","Online appointments","Jana Henryka Dąbrowskiego 77A, 60-529 Poznań, Poland","Bookkeeping service",,,,,,,,,"12313926761207465157","Poznań","PL","us","United States","2","0x470444b7ccce3c81:0xaae3db25b7f284c5","Yes","en","English","52.413851","","16.9005957","IN.COME Sp. z o. o.","Jeżyce, Poznań","22","660 092 400","+48 660 092 400","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoDofeEPARNu3fTG1bC4g6lQKC7C_isbZ3dpqsOMizW1od-a8nYxk24mFIv5u_R4REoz2ZuokzEJKMmhV_MrRqnffImigR7iefrF25Bj4duigJIAvTRK6IjTUsTaTd0CI9u5OH2=w3024-h4032-k-no","4","YEeoacLMGOurw8cP-97NcQ","","","/g/11bw1xsrln","4.9","42","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Jana Henryka Dąbrowskiego 77A","2026-03-04 15:53:21.039533","payroll.help.dor@dor.oregon.gov",,,,,,,,"https://google.com/maps?cid=12313926761207465157","https://in-come.pl","kancelaria@in-come.pl","bok@neofin.pl",,,,,,,,,,,"60-529"
,,,,"Gender-neutral restroom","Transgender safespace","LGBTQ+ friendly","Identifies as women-owned",,,,"Appointment required",,"Onsite services","Online appointments","Sielska 8, 60-129 Poznań, Poland","Accountant","Bookkeeping service","Payroll service","Tax preparation","Tax preparation service",,,,,"12572344706296374871","Poznań","PL","us","United States","3","0x470444ec81876bc1:0xae79f0e6348ee657","Yes","en","English","52.384895","","16.8865709","Accounting Office Rachunkovnia sp. O.o.","Grunwald","23","61 297 50 00","+48 61 297 50 00","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoeGVZh9XrLDp6hZICrOlOUiGkeb-m0GDKoy0eUGnyDlHVYSbU6ykeri1d5-BPH_0nctNmLud6bhZu5VG7fYMieucLaYIE0qRnMSrE324vz0yiFZvZc_FmZalo8aMbTWZ1JVwo=w5938-h3876-k-no","12","YEeoacLMGOurw8cP-97NcQ","","","/g/1hhwvd1kz","4.2","21","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Sielska 8","2026-03-04 15:53:21.039556",,,,,,,,,"https://google.com/maps?cid=12572344706296374871","https://rachunkovnia.pl","biuro@rachunkovnia.pl","kariera@rachunkovnia.pl",,,,,,,,,,,"60-129"
,,,,,,,,,,,,,,,"27 Grudnia 7E/20, 61-737 Poznań, Poland","Accounting firm",,,,,,,,,"10050168258136036029","Poznań","PL","us","United States","4","0x47045b57448f64a7:0x8b795ec85f1ad2bd","Yes","en","English","52.407823","","16.924342","Biuro Rachunkowe Natalia Wanat","Stare Miasto","24","570 563 275","+48 570 563 275","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoSWsUt6TgsJr5O_vIUTfgeOY5CkZ38S4YzmXFFan6ymgY-vjcmPDqF72tTwDb3uREzgVuyfJcVv-UAFsJmyqx48LEkcG296Ca_K8ynQ9clds7CE2turTAYLIl7Br4FFUDDLDg=w3712-h3005-k-no","3","YEeoacLMGOurw8cP-97NcQ","","","/g/11qbbdrpzp","4.8","22","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","27 Grudnia 7E/20","2026-03-04 15:53:21.039571",,,,,,,,,"https://google.com/maps?cid=10050168258136036029","https://ksiegowosc-wanat.com","1eeb89147c984dc6bc3ffafd9e6cd089@sentry.wixpress.com","8c4075d5481d476e945486754f783364@sentry.io","8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com","natalia@ksiegowosc-wanat.com",,,,,,,,,"61-737"
,,,,,,,"Identifies as women-owned",,,,,,,,"Naramowicka 152a, 61-619 Poznań, Poland","Accountant","Accounting firm",,,,,,,,"5050865965191306283","Poznań","PL","us","United States","5","0x47045d1827e6b30b:0x461847d5af569c2b","No","en","English","52.4468621","","16.9478082","JP Joanna Niedworok-Nowak","Stare Miasto","25","609 804 676","+48 609 804 676","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FabPOnEiWPHg4eO_mbx4Gw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=99.85184&pitch=0&thumbfov=100","1","YEeoacLMGOurw8cP-97NcQ","","","/g/11h5_vhvwm","4.8","16","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Naramowicka 152a","2026-03-04 15:53:21.039586",,,,,,,,,"https://google.com/maps?cid=5050865965191306283","https://ibiurorachunkowe.net","biuro@ibiurorachunkowe.net",,,,,,,,,,,,"61-619"
,,,,"Gender-neutral restroom",,,,,,,,,,,"Niemeńska 8a, 60-412 Poznań, Poland","Accountant","Accounting firm","Consumer advice center","Financial planner","Tax consultant","Tax preparation","Virtual office rental",,,"12511359070583913187","Poznań","PL","us","United States","6","0x470445ccb70b2c83:0xada146c96383fae3","Yes","en","English","52.428723","","16.8544269","Biura Rachunkowe: Kryzysowa księgowa i wspólnicy, Malwowa, Księgowa z polecenia, Netto czy Brutto, Esperto-JG","Jeżyce, Poznań","26","61 868 70 43","+48 61 868 70 43","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoNSGHxgR-eP-3h7uqTlXmrpbv1VSaOv-3utM7c8zFTNm5EVGXt6D9Wh93Fwts7yp7AAH82FVD8zv_awRZs1QLLSssZWT01A6H8BZ2QL--0FQAUcfyDXRWgKJ1_PclnEC8j4nxh=w1200-h800-k-no","17","YEeoacLMGOurw8cP-97NcQ","","","/g/11rq215tj6","4.7","13","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Niemeńska 8a","2026-03-04 15:53:21.039602",,,,,,,,,"https://google.com/maps?cid=12511359070583913187","https://kryzysowa-ksiegowa.pl",,,,,,,,,,,,,"60-412"
"Wheelchair accessible entrance","Wheelchair accessible parking lot",,,,,,,,,,,,,,"Wenecjańska 7/1, 61-101 Poznań, Poland","Accountant","Bookkeeping service","Certified public accountant","Tax preparation service",,,,,,"3380768443300021004","Poznań","PL","us","United States","7","0x47045b4ad5392341:0x2eeae6fcb2bf830c","Yes","en","English","52.4092013","","16.941486299999998","Kancelaria Rachunkowa Denarius Sp. z o.o.","Stare Miasto","27","797 590 205","+48 797 590 205","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepfOrUd25h5clSS_qDcIm4qWZ-xAZTCXi1WEHH33HUQoWvkA7lef9AtLBZLL_Xi_umCK6P3atgRelU_P_Kx9eOHT-AMRk9LA9JTC6OxCMOODO3FDeAMkfALyauIyuTgwi8qFrpb=w3024-h4032-k-no","5","YEeoacLMGOurw8cP-97NcQ","","","/g/1pp2txvw3","4.9","33","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Wenecjańska 7/1","2026-03-04 15:53:21.039615",,,,,,,,,"https://google.com/maps?cid=3380768443300021004","https://denarius.com.pl",,,,,,,,,,,,,"61-101"
,,,,,,,,,,,,,,,"Przelot 76, 60-408 Poznań, Poland","Accountant","Accounting firm","Payroll service","Tax consultant",,,,,,"13602743944121307445","Poznań","PL","us","United States","8","0x4704448af91d0c2b:0xbcc6a78bf7f25135","Yes","en","English","52.4221844","","16.8558678","Biuro Rachunkowe Poznań Jóźwicki & Partners","Jeżyce, Poznań","28","61 845 37 80","+48 61 845 37 80","https://lh3.googleusercontent.com/gps-cs-s/AHVAwereuCqCUHR1o6nnQdQdwjXQ2ktwroP4KI7RgsD6JD-qLR7RTLyPlLz5k6iUv3Fx4j6ovZKLff3ZwwOtwGLxezGMn2DoEBkGuzVK7jXWNu-D_cLF9jKlUWHyzrndWxp296bKwG17NQ=w1896-h3191-k-no","20","YEeoacLMGOurw8cP-97NcQ","","","/g/11gg6bzs7q","4.8","36","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Przelot 76","2026-03-04 15:53:21.039628",,,,,,,,,"https://google.com/maps?cid=13602743944121307445","https://mjn-jozwicki.pl",,,,,,,,,,,,,"60-408"
,,,,,,,,,,,,,,,"Heleny Szafran 1, 60-693 Poznań, Poland","Accounting firm",,,,,,,,,"18098966892402949576","Poznań","PL","us","United States","9","0x4704434f74c6ab01:0xfb2c727f073bbdc8","No","en","English","52.451334599999996","","16.9033591","Zmarz Jolanta. Biuro rachunkowe","Jeżyce, Poznań","29","604 727 527","+48 604 727 527","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nwJNb6N89le5jgT3V0pYXQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=314.96567&pitch=0&thumbfov=100","1","YEeoacLMGOurw8cP-97NcQ","","","/g/1thzmlqs","4.9","12","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Heleny Szafran 1","2026-03-04 15:53:21.039641",,,,,,,,,"https://google.com/maps?cid=18098966892402949576","https://zmarz.poznan.pl",,,,,,,,,,,,,"60-693"
"Wheelchair accessible seating",,,,"Gender-neutral restroom",,,,,,,,,,,"Kamiennogórska 7/lok.U3, 60-179 parter, Poland","Accounting firm",,,,,,,,,"10830056555424813151","parter","PL","us","United States","10","0x416539995f297eed:0x964c170e9b7c905f","Yes","en","English","52.391738499999995","","16.8447419","AM Kancelaria Rachunkowa Sp. z o.o.","Grunwald","30","509 060 008","+48 509 060 008","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoZWvvhaTET5OYFyUuS-dkqGTgt6LuCT6HnOdkePDD7gzW3ky4HwxCMdDkUPJ5NGvDcomD2VzbXltJqYN_wKkeWfWW4Og1J-_SVbj4RyLCH-duwTDBQizfDm8WPN2zZ2mzOUa5z=w3024-h4032-k-no","33","YEeoacLMGOurw8cP-97NcQ","","","/g/11b6s31clh","5","54","Poznan, Polska","biuro rachunkowe","","https://www.facebook.com/people/am-kancelaria-rachunkowa/100029157386556/","https://www.instagram.com/am_kancelaria/?hl=am-et",,,,"","Open","Kamiennogórska 7/lok.U3","2026-03-04 15:53:21.039670","wikom@wikombiuro.pl","joanna.lebiedzinska@wp.pl",,,,,,,"https://google.com/maps?cid=10830056555424813151","https://uslugiksiegowepoznan.pl","a.ewertowska@amkancelaria.info.pl","a.lesniewska@amkancelaria.info.pl","a.pacek@amkancelaria.info.pl","ambiuro@amkancelaria.info.pl","biuro@ubezpieczenia-complex.pl","d.marciniak@amkancelaria.info.pl","e.chojnacka@amkancelaria.info.pl","e.sawikowska@amkancelaria.info.pl","j.cieplicka@amkancelaria.info.pl","l.komorowska@amkancelaria.info.pl","p.ziolkowska@amkancelaria.info.pl","sekretariat@amkancelaria.info.pl","60-179"
