"additionalInfo/info/Accessibility/0","additionalInfo/info/Accessibility/1","additionalInfo/info/Accessibility/2","additionalInfo/info/Accessibility/3","additionalInfo/info/Amenities/0","additionalInfo/info/Crowd/0","additionalInfo/info/Crowd/1","additionalInfo/info/From the business/0","additionalInfo/info/Parking/0","additionalInfo/info/Parking/1","additionalInfo/info/Planning/0","additionalInfo/info/Planning/1","additionalInfo/info/Service options/0","additionalInfo/info/Service options/1","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","cid","city","country","country_code","country_name","display_rank","gid","isClaimed","language_code","language_name","latitude","longDescription","longitude","name","neighborhood","original_rank","phone","phoneIsd","photo","photoCount","placeId","priceRange","priceRangeText","providerId","rating","reviewCount","searchLocation","searchTerm","shortDescription","social/facebook/0","social/instagram/0","social/linkedin/0","social/twitter/0","social/youtube/0","state","status","street","timestamp","uncertain_emails/0","uncertain_emails/1","uncertain_emails/2","uncertain_emails/3","uncertain_emails/4","uncertain_emails/5","uncertain_emails/6","url","website","website_emails/0","website_emails/1","website_emails/2","website_emails/3","website_emails/4","website_emails/5","website_emails/6","zip"
"Wheelchair accessible entrance",,,,,,,,,,,,,,"Dziewińska 74, 60-178 Poznań, Poland","Accountant",,,,,,,,,"10790724569612056047","Poznań","PL","us","United States","1","0x47044506df295f17:0x95c05ad308ce75ef","Yes","en","English","52.3935993","","16.838898099999998","Biuro Rachunkowe Dino","Grunwald","40","61 862 27 86","+48 61 862 27 86","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqwZpKC7voOVP4hT-L8SZSJg3l8XPhReBD9BXNvDHYvLkdY5jvSQX6mdCq4rYEdlqJx9uB5m6cGxjyRYqrf0n74SzgZe4XbgNgBqtAl08zDRjZKOzpPVep4VCDe4ZDH_0wMWp8tvA=w3648-h2736-k-no","4","yU-oabbmB7KjptQP5ay_mQM","","","/g/1xfsmfs6","4.7","12","Poznan, Polska","księgowość","",,,,,,"","Open","Dziewińska 74","2026-03-04 16:29:13.886176","sekretariat@marketdino.pl","johnsmith@marketdino.pl","bok@marketdino.pl",,,,,"https://google.com/maps?cid=10790724569612056047","https://dino.poznan.pl",,,,,,,,"60-178"
,,,,,,,,,,,,,,"Andersia Business Centre, Pl. Władysława Andersa 7, 61-894 Poznań, Poland","Accounting firm","Insurance agency",,,,,,,,"14543195920835710345","Poznań","PL","us","United States","2","0x471b2b27dad81db7:0xc9d3cfa308528d89","Yes","en","English","52.4005747","","16.9257851","Biuro Rachunkowe PUnKT Sp. z o.o.","Stare Miasto","41","514 533 315","+48 514 533 315","https://lh3.googleusercontent.com/gps-cs-s/AHVAweowEjjp7PxeiTib012_5VbTfB7tc1OwG5wUtpY8JbiOJjz0hi4MXvfKPr_IWLx0PjZJk0ZzQ0pXZrFY2W0MuiT5cFWGGIUEj_lhc4S9S5Vs9Z-PpfCzIdVcg-GPWq-77uks0Fg=w3054-h957-k-no","2","yU-oabbmB7KjptQP5ay_mQM","","","/g/11g9gplzfm","4.6","10","Poznan, Polska","księgowość","",,,,,,"","Open","Andersia Business Centre, Pl. Władysława Andersa 7","2026-03-04 16:29:13.886227",,,,,,,,"https://google.com/maps?cid=14543195920835710345","https://brpunkt.pl",,,,,,,,"61-894"
,,,,,,,,,,"Appointments recommended",,,,"Marcelińska 48/2, 60-354 Poznań, Poland","Bookkeeping service","Accountant","Tax attorney",,,,,,,"1027977101111107565","Poznań","PL","us","United States","3","0x470444d01c7aa2f7:0xe441bba1cf69fed","Yes","en","English","52.404368","","16.8818592","Kancelaria Doradcy Podatkowego Anna Cegielska","Grunwald","42","608 849 559","+48 608 849 559","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerzn9S9P-nMmgI0Su93bAXwgNHvLDKXVzniJ2MoGc_818eDww7WchcDA0Nmh5Fb9YBVBZG-LwAJyQj5hJvF6EmJ5SrNkcVXtZM16y81IifImIKgYTDafhxvBsggUNhYTaNGwWLdLQ=w1080-h1920-k-no","2","yU-oabbmB7KjptQP5ay_mQM","","","/g/11bbrgsk32","4.9","83","Poznan, Polska","księgowość","",,,,,,"","Open","Marcelińska 48/2","2026-03-04 16:29:13.886246",,,,,,,,"https://google.com/maps?cid=1027977101111107565","https://acega.pl",,,,,,,,"60-354"
,,,,"Gender-neutral restroom",,,,,,,,,,"Niemeńska 8a, 60-412 Poznań, Poland","Accountant","Accounting firm","Consumer advice center","Financial planner","Tax consultant","Tax preparation","Virtual office rental",,,"12511359070583913187","Poznań","PL","us","United States","4","0x470445ccb70b2c83:0xada146c96383fae3","Yes","en","English","52.428723","","16.8544269","Biura Rachunkowe: Kryzysowa księgowa i wspólnicy, Malwowa, Księgowa z polecenia, Netto czy Brutto, Esperto-JG","Jeżyce, Poznań","43","61 868 70 43","+48 61 868 70 43","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoNSGHxgR-eP-3h7uqTlXmrpbv1VSaOv-3utM7c8zFTNm5EVGXt6D9Wh93Fwts7yp7AAH82FVD8zv_awRZs1QLLSssZWT01A6H8BZ2QL--0FQAUcfyDXRWgKJ1_PclnEC8j4nxh=w1200-h800-k-no","17","yU-oabbmB7KjptQP5ay_mQM","","","/g/11rq215tj6","4.7","13","Poznan, Polska","księgowość","",,,,,,"","Open","Niemeńska 8a","2026-03-04 16:29:13.886261",,,,,,,,"https://google.com/maps?cid=12511359070583913187","https://kryzysowa-ksiegowa.pl",,,,,,,,"60-412"
,,,,,,,,,,,,,,"27 Grudnia 7E/20, 61-737 Poznań, Poland","Accounting firm",,,,,,,,,"10050168258136036029","Poznań","PL","us","United States","5","0x47045b57448f64a7:0x8b795ec85f1ad2bd","Yes","en","English","52.407823","","16.924342","Biuro Rachunkowe Natalia Wanat","Stare Miasto","44","570 563 275","+48 570 563 275","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoSWsUt6TgsJr5O_vIUTfgeOY5CkZ38S4YzmXFFan6ymgY-vjcmPDqF72tTwDb3uREzgVuyfJcVv-UAFsJmyqx48LEkcG296Ca_K8ynQ9clds7CE2turTAYLIl7Br4FFUDDLDg=w3712-h3005-k-no","3","yU-oabbmB7KjptQP5ay_mQM","","","/g/11qbbdrpzp","4.8","22","Poznan, Polska","księgowość","",,,,,,"","Open","27 Grudnia 7E/20","2026-03-04 16:29:13.886275","redakcja@e-mentor.edu.pl",,,,,,,"https://google.com/maps?cid=10050168258136036029","https://ksiegowosc-wanat.com","1eeb89147c984dc6bc3ffafd9e6cd089@sentry.wixpress.com","8c4075d5481d476e945486754f783364@sentry.io","8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com","natalia@ksiegowosc-wanat.com",,,,"61-737"
,,,,,,,,,,,,"Onsite services","Online appointments","Adama Mickiewicza 30B/11, 60-836 Poznań, Poland","Accountant","Accounting firm","Bookkeeping service",,,,,,,"13503708041932146344","Poznań","PL","us","United States","6","0x47044528a54b6975:0xbb66ceeb1df386a8","Yes","en","English","52.4094158","","16.9106035","Magdalena Mielcarek","Jeżyce, Poznań","45","881 075 079","+48 881 075 079","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqs5h_sS3CqTPod2DiggBUKoW_0bwlDEEYl2yFdsH8tuUaQa8faoK1l6xRyMLsarvhONXa_sjCoEJookZ_hezPyUMGkemYUV6SlvHGQ-JnwOfpMC7XLYYkgRpKYjTA5OAnkU0SeZKV38dDN=w3213-h5712-k-no","4","yU-oabbmB7KjptQP5ay_mQM","","","/g/11jjrsylvx","4.9","30","Poznan, Polska","księgowość","",,,,,,"","Open","Adama Mickiewicza 30B/11","2026-03-04 16:29:13.886289",,,,,,,,"https://google.com/maps?cid=13503708041932146344","https://mmtax.pl",,,,,,,,"60-836"
"Wheelchair accessible seating","Wheelchair accessible entrance","Wheelchair accessible restroom",,"Gender-neutral restroom","Transgender safespace","LGBTQ+ friendly",,,,,,,,"plac Wolności 18, 61-739 Poznań, Poland","Accounting firm","Bookkeeping service",,,,,,,,"8342484576221328251","Poznań","PL","us","United States","7","0x47045b39cf1ae4a9:0x73c675858dd8f37b","Yes","en","English","52.408489499999995","","16.9278335","PG Partner Gospodarczy | Poznań","Stare Miasto","46","536 169 066","+48 536 169 066","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqx45Kr1O_PME-ojJO73E9CqbCZcbao-mp5FrfFztPmwTPHhPmCS4dfFlmyLOk0F6a4scgRKBbbzTA4yvyEEaqqzCu-jQg7gN2WHRbliDmvhr6Bq-RgZ4A6P7k-WgOi7Po5uU7a=w2048-h1365-k-no","16","yU-oabbmB7KjptQP5ay_mQM","","","/g/11fy94ws4f","4.7","61","Poznan, Polska","księgowość","","https://www.facebook.com/pg.partnergospodarczy",,"https://www.linkedin.com/company/partner-gospodarczy/",,,"","Open","plac Wolności 18","2026-03-04 16:29:13.886305",,,,,,,,"https://google.com/maps?cid=8342484576221328251","https://partner-gospodarczy.pl","bilans@partner-gospodarczy.pl","zapytania@partner-gospodarczy.pl","gdansk@partner-gospodarczy.pl","katowice@partner-gospodarczy.pl","krakow@partner-gospodarczy.pl","lodz@partner-gospodarczy.pl","poznan@partner-gospodarczy.pl","61-739"
,,,,"Gender-neutral restroom","Transgender safespace","LGBTQ+ friendly","Identifies as women-owned",,,"Appointment required",,"Onsite services","Online appointments","Sielska 8, 60-129 Poznań, Poland","Accountant","Bookkeeping service","Payroll service","Tax preparation","Tax preparation service",,,,,"12572344706296374871","Poznań","PL","us","United States","8","0x470444ec81876bc1:0xae79f0e6348ee657","Yes","en","English","52.384895","","16.8865709","Accounting Office Rachunkovnia sp. O.o.","Grunwald","47","61 297 50 00","+48 61 297 50 00","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoeGVZh9XrLDp6hZICrOlOUiGkeb-m0GDKoy0eUGnyDlHVYSbU6ykeri1d5-BPH_0nctNmLud6bhZu5VG7fYMieucLaYIE0qRnMSrE324vz0yiFZvZc_FmZalo8aMbTWZ1JVwo=w5938-h3876-k-no","12","yU-oabbmB7KjptQP5ay_mQM","","","/g/1hhwvd1kz","4.2","21","Poznan, Polska","księgowość","",,,,,,"","Open","Sielska 8","2026-03-04 16:29:13.886322","biurorachunkowe.capital@gmail.com","biuro@krafton.com.pl",,,,,,"https://google.com/maps?cid=12572344706296374871","https://rachunkovnia.pl","biuro@rachunkovnia.pl","kariera@rachunkovnia.pl",,,,,,"60-129"
,,,,,,,,,,,,,,"Grunwaldzka 149, 60-313 Poznań, Poland","Bookkeeping service","Accountant","Accounting firm","Tax consultant","Tax preparation",,,,,"17893026842482319202","Poznań","PL","us","United States","9","0x47045b354eb2bf0f:0xf850cd1ca6b01f62","Yes","en","English","52.396041399999994","","16.8633563","Biuro Rachunkowe Stefańska Anna","Grunwald","48","61 834 30 50","+48 61 834 30 50","https://lh3.googleusercontent.com/gps-cs-s/AHVAwep-PPBr6O-wCWWEB6qKPfL4w8Kh2v_xfcJFdthr2hTa6OldB6aRHocdWdJHUSlzt6i85sLXs-4L6RzJuogAMEaygIrXvu3bGBZqri8St6cJZG37DqqTD8TtLVgprpO0xfhWilkUQA=w2121-h1414-k-no","29","yU-oabbmB7KjptQP5ay_mQM","","","/g/1td6lc1s","4.6","9","Poznan, Polska","księgowość","",,,,,,"","Open","Grunwaldzka 149","2026-03-04 16:29:13.886339",,,,,,,,"https://google.com/maps?cid=17893026842482319202","https://biurorachunkowe-stefanska.pl",,,,,,,,"60-313"
,,,,,,,,,,,,,,"Głogowska 277, 60-104 Poznań, Poland","Bookkeeping service","Accountant","Tax preparation","Training center",,,,,,"2858768326256688791","Poznań","PL","us","United States","10","0x4704454780c7a2d7:0x27ac62a575aafe97","Yes","en","English","52.3730741","","16.8672793","Biuro Rachunkowe Poznań DRD 📖","Grunwald","49","61 830 92 70","+48 61 830 92 70","https://lh3.googleusercontent.com/gps-cs-s/AHVAweo-5fnzIf2geeC-jqEuMFQB0c2EpdaAzwhHYPyOLeM-zSJT6wIqk7R0KhWCbturiVCi94TnTvZF1dAy3IhjzkGcNmdBwIqBcWej-KQpmvc4QLx4JPHMb18YhzMtLLNhBGID9YpyBnHeSa-U=w815-h858-k-no","14","yU-oabbmB7KjptQP5ay_mQM","","","/g/1tcxsyst","5","7","Poznan, Polska","księgowość","",,,,,,"","Open","Głogowska 277","2026-03-04 16:29:13.886353","info@drdpartnership.com","sekretariat@antydopinglab.pl","dorota.kwiatkowska@antydopinglab.pl","mpd@dc.gov","amir.ahkami@pnnl.gov",,,"https://google.com/maps?cid=2858768326256688791","https://drd.pl","biuro@drd.pl",,,,,,,"60-104"
