"additionalInfo/info/Accessibility/0","additionalInfo/info/Accessibility/1","additionalInfo/info/Accessibility/2","additionalInfo/info/Accessibility/3","additionalInfo/info/Amenities/0","additionalInfo/info/Crowd/0","additionalInfo/info/Crowd/1","additionalInfo/info/From the business/0","additionalInfo/info/Parking/0","additionalInfo/info/Parking/1","additionalInfo/info/Planning/0","additionalInfo/info/Planning/1","additionalInfo/info/Service options/0","additionalInfo/info/Service options/1","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","cid","city","country","country_code","country_name","display_rank","gid","isClaimed","language_code","language_name","latitude","longDescription","longitude","name","neighborhood","original_rank","phone","phoneIsd","photo","photoCount","placeId","priceRange","priceRangeText","providerId","rating","reviewCount","searchLocation","searchTerm","shortDescription","social/facebook/0","social/instagram/0","social/linkedin/0","social/twitter/0","social/youtube/0","state","status","street","timestamp","uncertain_emails/0","uncertain_emails/1","uncertain_emails/2","uncertain_emails/3","uncertain_emails/4","uncertain_emails/5","uncertain_emails/6","url","website","website_emails/0","website_emails/1","website_emails/2","website_emails/3","website_emails/4","website_emails/5","website_emails/6","website_emails/7","zip"
"Wheelchair accessible restroom","Wheelchair accessible seating","Wheelchair accessible entrance","Wheelchair accessible parking lot","Gender-neutral restroom","Transgender safespace","LGBTQ+ friendly",,"Paid street parking","Paid parking lot",,,"Onsite services",,"Strzelecka 29A/lok.39, II Piętro, 61-846 Poznań, Poland","Accounting firm","Accountant","Bookkeeping service",,,,,,,"8008769734804174271","Poznań","PL","us","United States","1","0x47045be7b344defb:0x6f24dda43ae6f5bf","Yes","en","English","52.402579499999995","","16.934635999999998","Certyfikowane Biuro Rachunkowe RZIS.pl","Stare Miasto","1","667 009 907","+48 667 009 907","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqxI42jQEC1PNo5h-fNrjnGzOtmcKdgvC7Mna7uIljl6yugn02yRsSqPczhnwhcC9FjiZRr7uZywAQO1-Jir2rnuAo6ZO4fEiW8-MVGpy8Ral3KvswewVXn3n2NawmxRHJ7Gvx0=w4608-h3456-k-no","8","nkmoadSwFLKjptQP5ay_mQM","","","/g/11y46ngtpc","4.9","159","Poznan, Polska","usługi księgowe","","https://www.facebook.com/rzispl",,,,,"","Open","Strzelecka 29A/lok.39, II Piętro","2026-03-04 16:02:54.897863","iod@m3mcom.pl","kontakt@funduszfilar.pl","dburke@libertyvillageny.org","biuro@strategodk.pl","info@infakt.pl",,,"https://google.com/maps?cid=8008769734804174271","https://rzis.pl","kontakt@rzis.pl",,,,,,,,"61-846"
"Wheelchair accessible entrance",,,,,"LGBTQ+ friendly",,,,,,,"Onsite services",,"Potockiej 25, 60-211 Poznań, Poland","Accounting firm","Accountant","Bookkeeping service","Certified public accountant","Virtual office rental",,,,,"2720988474387891732","Poznań","PL","us","United States","2","0x47044574864651ef:0x25c2e499ddd28614","Yes","en","English","52.391156699999996","","16.8969976","FakturTax biuro rachunkowe Poznań","Grunwald","2","501 264 565","+48 501 264 565","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoVM-TPnBSwNi0nlCKZsdPuRJZuSITwo7CbXpilxql06HAm3_v1Z5kcAn-PNrKevpjxvLG9l6HTKtbtDK-jNjWD5qUcyjkN3lqppczhWVKJYUB95EVWQXuO1OFfSNoZ4M_yb7sN9GGXGai8=w2048-h2048-k-no","74","nkmoadSwFLKjptQP5ay_mQM","","","/g/11h0333ljw","4.9","216","Poznan, Polska","usługi księgowe","",,,,,,"","Open","Potockiej 25","2026-03-04 16:02:54.897946","filip@fakturtax.pl","anisanurmaulidya1@gmail.com",,,,,,"https://google.com/maps?cid=2720988474387891732","https://fakturtax.pl","kontakt@fakturtax.pl",,,,,,,,"60-211"
"Wheelchair accessible entrance","Wheelchair accessible parking lot",,,,,,,,,,,,,"Święty Marcin 29/8, 61-806 Poznań, Poland","Accounting firm","Accountant","Auditor","Bookkeeping service","Business to business service","Income tax help association","Tax consultant","Tax preparation","Tax preparation service","6368642601112662508","Poznań","PL","us","United States","3","0x470445ec0c3a579d:0x5861f6b404bd71ec","Yes","en","English","52.4060808","","16.9259241","Biuro rachunkowe ATP","Stare Miasto","3","604 087 850","+48 604 087 850","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoZ5phBll3e0pSexBFVjmMnVsmiV5ykpCqqlO-j6nzra0yigwm11N9q2ti7kwOddf4pqSIpe47xGdA4KBhLJ8yKZ_-NDeWvybaWkYsDLAq_725ab-UjRfkepWERyfQobQO_7G3GSA=w1200-h628-k-no","18","nkmoadSwFLKjptQP5ay_mQM","","","/g/11jfrmd0ft","4.9","54","Poznan, Polska","usługi księgowe","",,,,,,"","Open","Święty Marcin 29/8","2026-03-04 16:02:54.897978",,,,,,,,"https://google.com/maps?cid=6368642601112662508","https://atpksiegowosc.pl",,,,,,,,,"61-806"
"Wheelchair accessible entrance","Wheelchair accessible parking lot",,,,"Transgender safespace","LGBTQ+ friendly","Identifies as women-owned","Free parking lot","Free street parking","Appointment required","Appointments recommended","Onsite services","Online appointments","Grunwaldzka 112, 60-308 Poznań, Poland","Accountant","Accounting firm","Bookkeeping service","Certified public accountant","Tax consultant","Tax preparation",,,,"6574154923815419146","Poznań","PL","us","United States","4","0x4704451fd29678fd:0x5b3c171264673d0a","Yes","en","English","52.395748","","16.8647554","Biuro Rachunkowe Poznań ""KZ""","Grunwald","4","61 291 71 98","+48 61 291 71 98","https://lh3.googleusercontent.com/gps-cs-s/AHVAwep2n3Ly8O7SAwuKfC3ECTc_hFGdG6sTYqisITUqDh309dh1kCKlKS0K6a03kBLurzV-tstLHMVXFtq_YMzs7PT555-PT_rovJ8fw98GBVjpXjiCkcXKoDfKsKN_2BOZPSaenMJTFmyzeygt=w1224-h836-k-no","444","nkmoadSwFLKjptQP5ay_mQM","","","/g/1td3k8z3","5","107","Poznan, Polska","usługi księgowe","",,,,,,"","Open","Grunwaldzka 112","2026-03-04 16:02:54.898017",,,,,,,,"https://google.com/maps?cid=6574154923815419146","https://brkz.pl",,,,,,,,,"60-308"
"Wheelchair accessible parking lot",,,,,,,,,,,,"Onsite services","Online appointments","Mławska 11, 60-461 Poznań, Poland","Bookkeeping service","Accountant","Tax preparation",,,,,,,"191621486762362956","Poznań","PL","us","United States","5","0x4704439394a8946b:0x2a8c6ba19cd884c","Yes","en","English","52.4582329","","16.8481892","Biuro Rachunkowe - Podatkowe Zacisze","Jeżyce, Poznań","5","500 276 004","+48 500 276 004","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerQhTsk4a3oh8VlA5Q3NGVgjKjfFuCma1OrNuvXGP652v7MeAfEbSeEZoZ1oc5jmOu3srMPfbShpwVrLdujbX7Ss5q27vDYImzbIetklF56BRem0cCXp5RXA1-Z7eqj8UBuZ_I=w500-h500-k-no","2","nkmoadSwFLKjptQP5ay_mQM","","","/g/1trts__h","5","41","Poznan, Polska","usługi księgowe","",,,,,,"","Open","Mławska 11","2026-03-04 16:02:54.898048",,,,,,,,"https://google.com/maps?cid=191621486762362956","https://podatkowezacisze.pl",,,,,,,,,"60-461"
"Wheelchair accessible seating","Wheelchair accessible restroom",,,"Gender-neutral restroom","Transgender safespace","LGBTQ+ friendly",,,,,,,,"Strzelecka 29A, 61-846 Poznań, Poland","Accounting firm",,,,,,,,,"14346577789574688851","Poznań","PL","us","United States","6","0x47045bad8fb93769:0xc719487cfa1bb053","Yes","en","English","52.402579499999995","","16.934635999999998","Biuro Rachunkowe BRKM","Stare Miasto","6","604 179 541","+48 604 179 541","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QNB2njeVVvisd8qwPu_h0g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=352.2942&pitch=0&thumbfov=100","1","nkmoadSwFLKjptQP5ay_mQM","","","/g/11v003dhct","4.9","58","Poznan, Polska","usługi księgowe","",,,,,,"","Open","Strzelecka 29A","2026-03-04 16:02:54.898076",,,,,,,,"https://google.com/maps?cid=14346577789574688851","https://brkm.com.pl",,,,,,,,,"61-846"
"Wheelchair accessible entrance","Wheelchair accessible parking lot",,,,,,"Identifies as women-owned",,,,,,,"Promienista 62/4, 60-289 Poznań, Poland","Accounting firm","Accountant","Bookkeeping service","Tax preparation","Tax preparation service",,,,,"1740941729263870881","Poznań","PL","us","United States","7","0x470445dacd83c5c5:0x18291147636d63a1","Yes","en","English","52.393338299999996","","16.878939199999998","Biuro Rachunkowe Value Business - Księgowość","Grunwald","7","784 920 193","+48 784 920 193","https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7nA4OqNz_cULsH7bcMWeJPCs9MqFEk-smAcMWIxho7sOaf77rAoOkgGPQ6wbQFsgG0NDuVyQ8HtoW3NCjqiP6Ftu_2wT80lrO9EgCm5iWwg0LoAJjQOcJVDO6eKVaLPqFHo24=w3260-h2777-k-no","17","nkmoadSwFLKjptQP5ay_mQM","","","/g/11gxwr2152","4.9","67","Poznan, Polska","usługi księgowe","","https://www.facebook.com/sharer.php?u=https%3a%2f%2fwww.valuebusiness.pl%2fco-zyskujesz%2f",,,"https://twitter.com/intent/tweet?text=co%20zyskujesz%20?&#038;url=https%3a%2f%2fwww.valuebusiness.pl%2fco-zyskujesz%2f",,"","Open","Promienista 62/4","2026-03-04 16:02:54.898100","vendorregistration@heathtx.com","accountspayable@heathtx.com","security@ovic.vic.gov.au","info@hyattsville.org",,,,"https://google.com/maps?cid=1740941729263870881","https://valuebusiness.pl","biuro@valuebusiness.pl",,,,,,,,"60-289"
,,,,,,,,"Free parking lot",,"Appointment required",,"Onsite services","Online appointments","Pamiątkowa 2/35, 61-512 Poznań, Poland","Accountant","Financial consultant","Social security office",,,,,,,"18237214621578844101","Poznań","PL","us","United States","8","0x47045b25afd7d1dd:0xfd179a12cbc457c5","Yes","en","English","52.3870054","","16.9131459","Spectrum Biuro Rachunkowe","Wilda, Poznań","8","519 642 268","+48 519 642 268","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoU8NKiEcdezyHVi5DOotJHDPkWhAGN4rDHil3dk4y59h8b5XI9oo9wurUOcuGsmjQxxJXndizM0bcG2xt4H-8k7ol8Uw7WmL8gWu2E_8IaXHMuMAPwhhknUeqmyNS0fQRf8i9I=w5704-h3808-k-no","6","nkmoadSwFLKjptQP5ay_mQM","","","/g/1tcvsk99","4.7","24","Poznan, Polska","usługi księgowe","",,,,,,"","Open","Pamiątkowa 2/35","2026-03-04 16:02:54.898127","biuro@spectrumled.pl","spectrumcycle@gmail.com","biuro@silesiabikes.pl","biuro.spectrum@vp.pl","biuro@mlsystem.pl","biuro@szkloland.pl",,"https://google.com/maps?cid=18237214621578844101","https://biuro-spectrum.pl","kontakt@biuro-spectrum.pl",,,,,,,,"61-512"
,,,,,,,,,,,,,,"Szkolna 5/18, 61-832 Poznań, Poland","Accounting firm",,,,,,,,,"16647423895022108182","Poznań","PL","us","United States","9","0x47045bf96cae545f:0xe70787d4a8247e16","Yes","en","English","52.4069374","","16.9322431","Biuro Rachunkowe TAXO","Stare Miasto","9","61 307 01 77","+48 61 307 01 77","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepp5BUM8kQEd8skhTbOZtvRZSMVOJzaGxMgMHdw236lxJArVGmSsUV32hlDrzndK3blokoQ_i-db2Hj0ah3ShFsHwY35CgkWHfkAfG0PCUoZPPV3KfY_uIESwcqsykboBEky8qycYP0i2sA=w1155-h732-k-no","8","nkmoadSwFLKjptQP5ay_mQM","","","/g/11f5q8yr6r","4.8","125","Poznan, Polska","usługi księgowe","",,,,,,"","Open","Szkolna 5/18","2026-03-04 16:02:54.898149",,,,,,,,"https://google.com/maps?cid=16647423895022108182","https://taxo-acc.pl",,,,,,,,,"61-832"
"Wheelchair accessible entrance","Wheelchair accessible restroom",,,"Gender-neutral restroom",,,"Identifies as women-owned",,,,,"Onsite services",,"Bogusławskiego 30/5, 60-214 Poznań, Poland","Accounting firm","Accountant","Bookkeeping service","Chartered accountant","Tax preparation",,,,,"15065432835462475823","Poznań","PL","us","United States","10","0x470444d5f5a35a8f:0xd1132b58013f302f","Yes","en","English","52.392402999999995","","16.8928109","AK-PLUS Biuro Rachunkowe Anna Klupczyńska","Grunwald","10","601 781 634","+48 601 781 634","https://lh3.googleusercontent.com/gps-cs-s/AHVAwephqc3Os3yhy2fCnQPNF-cK8GzE_7c8b1lHN-0SoQh6WG4nyDP4fM8ySPSN6KsgECJsWmhdjr2y4cZ0Qp7_HIdq_l8iAx1UlwQ2JrTz15Wu8cUWP6wSGDu4PgxtOGLQ_eOqTDQ=w1100-h618-k-no","10","nkmoadSwFLKjptQP5ay_mQM","","","/g/11hzm2lg1h","4.1","10","Poznan, Polska","usługi księgowe","",,,,,,"","Open","Bogusławskiego 30/5","2026-03-04 16:02:54.898175","biuro@brkz.pl","biurorachunkowe.capital@gmail.com","poznan@getsix.pl",,,,,"https://google.com/maps?cid=15065432835462475823","https://biurorachunkowe-poznan.eu",,,,,,,,,"60-214"
