slug,severity,code,details
ak-plus-biuro-rachunkowe-anna-klupczynska,ok,ok,
akama-dorota-wysocka,ok,ok,
am-kancelaria-rachunkowa-sp-z-o-o,ok,ok,
amida-biuro-rachunkowe,ok,ok,
as-ksiegowosc-sp-z-o-o,ok,ok,
ascs-consulting-biuro-rachunkowe,ok,ok,
awm-zarzadzanie-rachunkowoscia-spo-ka-z-o-o,ok,ok,
accounting-office-rachunkovnia-sp-o-o,ok,ok,
ankrys-us-ugi-ksiegowo-podatkowe-katarzyna-farbisz-ma-gorzata,ok,ok,
biuro-ksiegowe,ok,ok,
biuro-rachunkowe-dm-sp-z-oo,ok,ok,
biuro-nix-us-ugi-ksiegowe-sp-z-o-o,ok,ok,
biura-rachunkowe-kryzysowa-ksiegowa-i-wspolnicy-malwowa-ksiegowa-z,ok,ok,
biuro-prawno-rachunkowe-maciej-skorupinski,ok,ok,
biuro-rachunkowe,ok,ok,
biuro-rachunkowe-ad-plus,ok,ok,
biuro-rachunkowe-agus-agnieszka-augustyniak,ok,ok,
biuro-rachunkowe-agnieszka-miskiewicz,ok,ok,
biuro-rachunkowe-algor,ok,ok,
biuro-rachunkowe-aneta-milewska-koz-owska-ksiegowosc-us-ugi-ksiegowe,ok,ok,
biuro-rachunkowe-atoran,ok,ok,
biuro-rachunkowe-b-b-i,ok,ok,
biuro-rachunkowe-brkm,ok,ok,
biuro-rachunkowe-consulting-tax-sp-z-o-o,ok,ok,
biuro-rachunkowe-capital-sp-z-o-o,ok,ok,
biuro-rachunkowe-clear-finance-sp-z-o-o,ok,ok,
biuro-rachunkowe-dino,ok,ok,
biuro-rachunkowe-ekonomik,ok,ok,
biuro-rachunkowe-elzbieta-wawrzyniak,ok,ok,
biuro-rachunkowe-gama-izabela-mitkowska,ok,ok,
biuro-rachunkowe-infinitum-ksiegowosc-e-commerce,ok,ok,
biuro-rachunkowe-income-tax-weronika-greda,ok,ok,
biuro-rachunkowe-jw,ok,ok,
biuro-rachunkowe-kmt-finance,ok,ok,
biuro-rachunkowe-krzysztof-bejgerowski,ok,ok,
biuro-rachunkowe-kurdynowski-ksiegowosc-poznan,ok,ok,
biuro-rachunkowe-lmb-office,ok,ok,
biuro-rachunkowe-m-team,ok,ok,
biuro-rachunkowe-mk-paw-owscy,ok,ok,
biuro-rachunkowe-mk-bilans,ok,ok,
biuro-rachunkowe-mm-accounting-sp-z-o-o,ok,ok,
biuro-rachunkowe-ms-monika-stefaniak-poznan,ok,ok,
biuro-rachunkowe-merito-poznan,ok,ok,
biuro-rachunkowe-natalia-wanat,ok,ok,
biuro-rachunkowe-pit,ok,ok,
biuro-rachunkowe-pitownik-aneta-sniatkowska,ok,ok,
biuro-rachunkowe-punkt-sp-z-o-o,ok,ok,
biuro-rachunkowe-poznan,ok,ok,
biuro-rachunkowe-poznan-2,ok,ok,
biuro-rachunkowe-poznan-3,ok,ok,
biuro-rachunkowe-poznan-kz,ok,ok,
biuro-rachunkowe-poznan-drd,ok,ok,
biuro-rachunkowe-poznan-jozwicki-partners,ok,ok,
biuro-rachunkowe-poznan-noblesse,ok,ok,
biuro-rachunkowe-sodelis,ok,ok,
biuro-rachunkowe-stefanska-anna,ok,ok,
biuro-rachunkowe-taxo,ok,ok,
biuro-rachunkowe-value-business,ok,ok,
biuro-rachunkowe-wera,ok,ok,
biuro-rachunkowe-doradztwo-podatkowe,ok,ok,
biuro-ksiegowe-point,ok,ok,
biuro-rachunkowe-2,ok,ok,
biuro-rachunkowe-atp,ok,ok,
biuro-rachunkowe-adler,ok,ok,
biuro-rachunkowe-infi,ok,ok,
biuro-rachunkowe-kaizen-mateusz-baczyk,ok,ok,
biuro-rachunkowe-molard,ok,ok,
biuro-rachunkowe-poznan-nowoczesne-systemy-finansowe,ok,ok,
biuro-rachunkowe-pro-progress,ok,ok,
biuro-rozliczen-zagranicznych,ok,ok,
business-profit-biuro-rachunkowe,ok,ok,
centrum-us-ug-rachunkowych,ok,ok,
certyfikowane-biuro-rachunkowe-rzis-pl,ok,ok,
fakturtax-biuro-rachunkowe-poznan,ok,ok,
ferma-cyfr,ok,ok,
fineko-accounting-poznan,ok,ok,
g-tax,ok,ok,
grakon-sp-z-o-o,ok,ok,
honett-us-ugi-ksiegowe-donata-kochanska,ok,ok,
hencel-biuro-rachunkowe-poznan,ok,ok,
in-plus-tax,ok,ok,
in-come-sp-z-o-o,ok,ok,
invoice-tax,ok,ok,
jp-joanna-niedworok-nowak,ok,ok,
jan-pietrzak,ok,ok,
jeske-magdalena-auditor-accounting-office,ok,ok,
kancelaria-rachunkowa-kmn-prestige-spo-ka-z-ograniczona,ok,ok,
kancelaria-centrum,ok,ok,
kancelaria-doradcy-podatkowego-anna-cegielska,ok,ok,
kancelaria-gospodarcza-szatkowscy-i-wspolnicy-sp-z-o-o,ok,ok,
kancelaria-laurus-sp-z-o-o,ok,ok,
kancelaria-podatkowa-andrzej-nowak-sp-z-o-o,ok,ok,
kancelaria-podatkowa-sas-tax,ok,ok,
kancelaria-rachunkowa-denarius-sp-z-o-o,ok,ok,
kancelaria-us-ug-ksiegowych-tyniec-partnerzy,ok,ok,
katarzyna-burzynska,ok,ok,
ksiegowa-ewa-wojciechowska,ok,ok,
ksiegowosc,ok,ok,
ksiegowy-expert,ok,ok,
libra-biuro-rachunkowe,ok,ok,
magdalena-mielcarek,ok,ok,
maria-lipka,ok,ok,
marta-sowa,ok,ok,
md-biuro-rachunkowe-ma-gorzata-dudziak,ok,ok,
mega-lex-corp,ok,ok,
nowypit-pl-biuro-prawno-rachunkowe,ok,ok,
optimum-accounting-office-poznan,ok,ok,
pg-partner-gospodarczy,ok,ok,
pietkun-kancelaria-rachunkowa,ok,ok,
polskie-centrum-rachunkowosci,ok,ok,
profit-biuro-rachunkowe,ok,ok,
renata-pempera-biuro-rachunkowe,ok,ok,
smctax,ok,ok,
sobieraj-i-kuzmin-sp-z-o-o-biuro-rachunkowe-poznan,ok,ok,
spectrum-biuro-rachunkowe,ok,ok,
taxcoach-sp-z-o-o-biuro-rachunkowe,ok,ok,
taxshield-biuro-rachunkowe-online,ok,ok,
taxeo-accounting-office-poznan,ok,ok,
taxodus-biuro-ksiegowe-poznan-awica-biuro-rachunkowe,ok,ok,
vespa-biuro-rachunkowe,ok,ok,
wikom-biuro-rachunkowe,ok,ok,
zmarz-jolanta-biuro-rachunkowe,ok,ok,
booq-sp-z-o-o,ok,ok,
bras7-pl-biuro-rachunkowe,ok,ok,
infakt,ok,ok,
