slug,displayName,email,website,teamType,serviceModel,heroImage,logoUrl,teamImage,pricesFound,socialsFound,status,missing
am-kancelaria-rachunkowa-sp-z-o-o,AM Kancelaria Rachunkowa Sp. z o.o,a.ewertowska@amkancelaria.info.pl,https://uslugiksiegowepoznan.pl,wieloosobowe,stacjonarnie,https://uslugiksiegowepoznan.pl/wp-content/uploads/2024/10/real-estate-20.jpg,http://uslugiksiegowepoznan.pl/wp-content/uploads/2024/09/logo-1.png,https://uslugiksiegowepoznan.pl/wp-content/uploads/2024/10/real-estate-20.jpg,2,yes,ready,
biuro-rachunkowe-atoran,Biuro Rachunkowe Atoran,liberkowska@atoran.pl,https://atoran.pl,wieloosobowe,hybrydowo,https://atoran.pl/images/design/image-1.webp,https://atoran.pl/images/design/logo.webp,https://atoran.pl/images/design/image-1.webp,1,yes,ready,
biuro-rachunkowe-capital-sp-z-o-o,Biuro Rachunkowe Capital Sp. z o. o,biurorachunkowe.capital@gmail.com,https://br-capital.pl,wieloosobowe,hybrydowo,https://br-capital.pl/wp-content/plugins/revslider/public/assets/assets/dummy.png,https://br-capital.pl/wp-content/uploads/2022/04/cropped-br-capital-logo-32x32.png,https://br-capital.pl/wp-content/uploads/2022/03/zamek_portrait-scaled.jpeg,8,yes,ready,
biuro-rachunkowe-clear-finance-sp-z-o-o,Biuro Rachunkowe Clear Finance Sp. z o.o,biuro@clearfinance.com.pl,https://clearfinance.com.pl,wieloosobowe,stacjonarnie,https://clearfinance.com.pl/wp-content/uploads/2020/07/Photogenica-PHX96832726-kadr-1.jpg,https://clearfinance.com.pl/wp-content/uploads/2020/06/logo-3.png,https://clearfinance.com.pl/wp-content/uploads/2020/07/Photogenica-PHX96832726-kadr-1.jpg,4,yes,ready,
biuro-rachunkowe-ekonomik,Biuro Rachunkowe EKONOMIK,biuro@ekonomiksc.pl,https://ekonomiksc.pl,wieloosobowe,hybrydowo,https://ekonomiksc.pl/wp-content/uploads/2025/07/latarnia-1024x705.jpg,https://ekonomiksc.pl/wp-content/uploads/2025/07/logo-1.png,https://ekonomiksc.pl/wp-content/uploads/2025/07/latarnia-1024x705.jpg,2,yes,ready,
biuro-rachunkowe-income-tax-weronika-greda,Biuro Rachunkowe Income Tax Weronika Gręda,biuro@incometax.pl,https://incometax.pl,wieloosobowe,hybrydowo,http://incometax.pl/wp-content/uploads/2023/03/white.jpg,http://incometax.pl/wp-content/uploads/2022/10/Income-Tax_Logo-oryginalne-1.png,http://incometax.pl/wp-content/uploads/2023/03/white.jpg,3,yes,ready,
biuro-rachunkowe-m-team,Biuro Rachunkowe M-Team,kontakt@m-team-biurorachunkowe.pl,https://m-team-biurorachunkowe.pl,wieloosobowe,stacjonarnie,https://m-team-biurorachunkowe.pl/wp-content/uploads/2021/08/tlo.jpg,https://m-team-biurorachunkowe.pl/wp-content/themes/misjateam/img/logo2.png,https://m-team-biurorachunkowe.pl/wp-content/uploads/2021/08/tlo.jpg,4,yes,ready,
biuro-rachunkowe-pitownik-aneta-sniatkowska,Biuro Rachunkowe PITOWNIK Aneta Śniatkowska,biuro@pitownik.pl,https://pitownik.pl,wieloosobowe,hybrydowo,https://pitownik.pl/wp-content/uploads/2024/12/hero-section-1024x971.webp,https://pitownik.pl/wp-content/uploads/2024/12/logo2.png,https://pitownik.pl/wp-content/uploads/2024/12/hero-section-1024x971.webp,3,yes,ready,
biuro-rachunkowe-poznan,Biuro Rachunkowe Poznań,info@br-ingenium.pl,https://br-ingenium.pl,wieloosobowe,hybrydowo,https://br-ingenium.pl/wp-content/uploads/2024/02/cropped-8c4a8df2-8f8c-4032-84f2-3a79926a9087.png,https://br-ingenium.pl/wp-content/uploads/2025/11/logo.png,https://br-ingenium.pl/wp-content/uploads/2025/11/3.png,5,yes,ready,
biuro-rachunkowe-poznan-2,Biuro Rachunkowe Poznań,kontakt@kgjk.eu,https://kgjk.eu,wieloosobowe,hybrydowo,https://kgjk.eu/wp-content/uploads/2025/09/slider_1.webp,https://kgjk.eu/wp-content/uploads/2025/09/cropped-logo_rgb_blue_bg2.webp,https://kgjk.eu/wp-content/uploads/2025/09/slider_1.webp,7,yes,ready,
