slug,displayName,status,issues,website,pagesFetched,email,phone,teamType,serviceModel,heroImage
ak-plus-biuro-rachunkowe-anna-klupczynska,AK-PLUS Biuro Rachunkowe Anna Klupczyńska,PASS,,https://biurorachunkowe-poznan.eu,5,kontakt@biurorachunkowe-poznan.eu,601 781 634,wieloosobowe,hybrydowo,https://biurorachunkowe-poznan.eu/wp-content/uploads/2020/05/świadectwo-kwalifikacyjne-biuro-rachunkowe-Poznań-718x1024.jpg
akama-dorota-wysocka,AKAMA Dorota Wysocka,PASS,,https://wysocka-biuro-rachunkowe.pl,5,akamapoznan@wp.pl,61 875 05 67,wieloosobowe,stacjonarnie,https://www.wysocka-biuro-rachunkowe.pl/images/design/page/layout/3_1_orig.jpg
am-kancelaria-rachunkowa-sp-z-o-o,AM Kancelaria Rachunkowa Sp. z o.o,PASS,,https://uslugiksiegowepoznan.pl,6,a.ewertowska@amkancelaria.info.pl,509 060 008,wieloosobowe,stacjonarnie,https://uslugiksiegowepoznan.pl/wp-content/uploads/2024/10/real-estate-20.jpg
amida-biuro-rachunkowe,AMIDA. Biuro rachunkowe,PASS,,https://biurorachunkowe-amida.pl,1,kontakt@biurorachunkowe-amida.pl,501 975 440,wieloosobowe,stacjonarnie,https://biurorachunkowe-amida.pl/wp-content/uploads/2016/12/slide-1260x0.jpg
as-ksiegowosc-sp-z-o-o,AS KSIĘGOWOŚĆ SP. Z O.O,WARN,website_missing;email_missing;hero_image_fallback,,0,,531 732 727,wieloosobowe,stacjonarnie,/images/hero-accountant.jpg
ascs-consulting-biuro-rachunkowe,ASCS-Consulting Biuro Rachunkowe,PASS,,https://ascs-consulting.pl,5,biuro@ascs-consulting.pl,61 102 04 00,nieokreslone,hybrydowo,"https://static.wixstatic.com/media/69bb05_21a061d322ba4f778cc9f8509df95a1c~mv2.jpg/v1/crop/x_14,y_212,w_5702,h_2172/fill/w_812,h_296,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/ASCS-consulting-biuro-rachunkowe-poznan-min.jpg"
awm-zarzadzanie-rachunkowoscia-spo-ka-z-o-o,AWM Zarządzanie Rachunkowością Spółka z o.o,PASS,,https://awmzr.pl,6,biuro@awmzr.pl,61 662 44 87,wieloosobowe,hybrydowo,https://awmzr.pl/wp-content/uploads/2015/01/banner-1-1.jpg
accounting-office-rachunkovnia-sp-o-o,Accounting Office Rachunkovnia sp. O.o,PASS,,https://rachunkovnia.pl,4,biuro@rachunkovnia.pl,61 297 50 00,wieloosobowe,hybrydowo,https://rachunkovnia.pl/photos/536/banner-online.jpg.jpg
ankrys-us-ugi-ksiegowo-podatkowe-katarzyna-farbisz-ma-gorzata,Ankrys Usługi Księgowo-Podatkowe Katarzyna Farbisz Małgorzata,PASS,,https://ankrysbiuro.pl,4,ankrys@poznet.pl,607 407 106,jednoosobowe,stacjonarnie,https://ankrysbiuro.pl/wp-content/uploads/2023/06/biuro-z-dokumentami-i-kontami-pienieznymi-1024x683.jpg
biuro-ksiegowe,BIURO KSIĘGOWE,PASS,,https://ksiegowo.com.pl,4,biuro@ksiegowo.com.pl,535 035 053,nieokreslone,stacjonarnie,https://ksiegowo.com.pl/wp-content/uploads/2016/08/slajd1-1280x500.jpg
