slug,displayName,email,phone,website,teamType,serviceModel,servicesCount,pricingHintsCount,heroCandidateUrl,summaryConfidence
ak-plus-biuro-rachunkowe-anna-klupczynska,AK-PLUS Biuro Rachunkowe Anna Klupczyńska,kontakt@biurorachunkowe-poznan.eu,601 781 634,https://biurorachunkowe-poznan.eu,wieloosobowe,hybrydowo,6,3,https://biurorachunkowe-poznan.eu/wp-content/uploads/2020/04/anna-klupczynska-ksiegowa-poznan.png,high
akama-dorota-wysocka,AKAMA Dorota Wysocka,akamapoznan@wp.pl,61 875 05 67,https://wysocka-biuro-rachunkowe.pl,wieloosobowe,stacjonarnie,3,3,/images/hero-accountant.jpg,high
am-kancelaria-rachunkowa-sp-z-o-o,AM Kancelaria Rachunkowa Sp. z o.o.,a.ewertowska@amkancelaria.info.pl,509 060 008,https://uslugiksiegowepoznan.pl,wieloosobowe,stacjonarnie,3,3,/images/hero-accountant.jpg,high
amida-biuro-rachunkowe,AMIDA. Biuro rachunkowe,kontakt@biurorachunkowe-amida.pl,501 975 440,https://biurorachunkowe-amida.pl,wieloosobowe,stacjonarnie,3,3,/images/hero-accountant.jpg,medium
as-ksiegowosc-sp-z-o-o,AS KSIĘGOWOŚĆ SP. Z O.O.,,531 732 727,,wieloosobowe,stacjonarnie,3,3,/images/hero-accountant.jpg,low
ascs-consulting-biuro-rachunkowe,ASCS-Consulting Biuro Rachunkowe,biuro@ascs-consulting.pl,61 102 04 00,https://ascs-consulting.pl,nieokreslone,stacjonarnie,3,3,/images/hero-accountant.jpg,low
awm-zarzadzanie-rachunkowoscia-spo-ka-z-o-o,AWM Zarządzanie Rachunkowością Spółka z o.o.,biuro@awmzr.pl,61 662 44 87,https://awmzr.pl,wieloosobowe,hybrydowo,5,3,https://awmzr.pl/wp-content/uploads/2016/12/pobrane.png,high
accounting-office-rachunkovnia-sp-o-o,Accounting Office Rachunkovnia sp. O.o.,biuro@rachunkovnia.pl,61 297 50 00,https://rachunkovnia.pl,wieloosobowe,hybrydowo,4,3,/images/hero-accountant.jpg,high
ankrys-us-ugi-ksiegowo-podatkowe-katarzyna-farbisz-ma-gorzata,Ankrys Usługi Księgowo-Podatkowe Katarzyna Farbisz Małgorzata,ankrys@poznet.pl,607 407 106,https://ankrysbiuro.pl,nieokreslone,stacjonarnie,4,3,https://ankrysbiuro.pl/wp-content/uploads/2023/06/ankrys-logo-400x121-1.svg,high
biuro-ksiegowe,BIURO KSIĘGOWE,biuro@ksiegowo.com.pl,535 035 053,https://ksiegowo.com.pl,nieokreslone,stacjonarnie,1,3,/images/hero-accountant.jpg,low
biuro-rachunkowe-dm-sp-z-oo,BIURO RACHUNKOWE DM SP. Z OO,,502 497 149,,nieokreslone,stacjonarnie,3,3,/images/hero-accountant.jpg,low
biuro-nix-us-ugi-ksiegowe-sp-z-o-o,BIURO-NIX Usługi Księgowe Sp.z o.o.,,506 067 123,https://biuro-nix.pl,nieokreslone,stacjonarnie,3,3,/images/hero-accountant.jpg,low
biura-rachunkowe-kryzysowa-ksiegowa-i-wspolnicy-malwowa-ksiegowa-z,"Biura Rachunkowe: Kryzysowa księgowa i wspólnicy, Malwowa, Księgowa z",biuro@kryzysowa-ksiegowa.pl,61 868 70 43,https://kryzysowa-ksiegowa.pl,wieloosobowe,stacjonarnie,3,3,https://www.kryzysowa-ksiegowa.pl/images/design/logo.png#joomlaImage://local-images/design/logo.png?width=379&amp;height=48,medium
biuro-prawno-rachunkowe-maciej-skorupinski,Biuro Prawno-Rachunkowe Maciej Skorupiński,biuro@skorupinski.pl,61 865 70 54,https://skorupinski.pl,wieloosobowe,hybrydowo,6,3,/images/hero-accountant.jpg,high
biuro-rachunkowe,Biuro Rachunkowe,biuro@podatkowezacisze.pl,500 276 004,https://podatkowezacisze.pl,wieloosobowe,stacjonarnie,1,3,/images/hero-accountant.jpg,low
biuro-rachunkowe-ad-plus,Biuro Rachunkowe AD-plus,biuro@ad-plus.pl,880 680 868,https://ad-plus.pl,wieloosobowe,hybrydowo,3,3,/images/hero-accountant.jpg,medium
biuro-rachunkowe-agus-agnieszka-augustyniak,Biuro Rachunkowe AGUS Agnieszka Augustyniak,,511 075 926,https://agus-biurorachunkowe.com.pl,nieokreslone,stacjonarnie,2,3,/images/hero-accountant.jpg,low
biuro-rachunkowe-agnieszka-miskiewicz,Biuro Rachunkowe Agnieszka Miśkiewicz,biuro@br-miskiewicz.pl,509 099 518,https://br-miskiewicz.pl,nieokreslone,stacjonarnie,2,3,https://br-miskiewicz.pl/img/favo.png,medium
biuro-rachunkowe-algor,Biuro Rachunkowe Algor,biuro@algor-podatki.pl,61 875 80 07,https://algor-podatki.pl,wieloosobowe,stacjonarnie,1,3,/images/hero-accountant.jpg,low
biuro-rachunkowe-aneta-milewska-koz-owska-ksiegowosc-us-ugi-ksiegowe,Biuro Rachunkowe Aneta Milewska- Kozłowska Księgowość Usługi Księgowe,info@biurorachunkowemilewska.pl,500 182 379,https://biurorachunkowemilewska.pl,wieloosobowe,stacjonarnie,4,3,/images/hero-accountant.jpg,medium
biuro-rachunkowe-atoran,Biuro Rachunkowe Atoran,liberkowska@atoran.pl,502 546 806,https://atoran.pl,wieloosobowe,hybrydowo,4,3,https://atoran.pl/images/design/logo.webp,high
biuro-rachunkowe-b-b-i,Biuro Rachunkowe B&B I Бухгалтерия,bb.poznan.pl@gmail.com,514 018 884,https://biuro-bb.pl,wieloosobowe,stacjonarnie,3,3,/images/hero-accountant.jpg,medium
biuro-rachunkowe-brkm,Biuro Rachunkowe BRKM,kontakt@brkm.com.pl,604 179 541,https://brkm.com.pl,wieloosobowe,hybrydowo,6,3,https://brkm.com.pl/wp-content/uploads/2023/05/image001-kopia.png,high
biuro-rachunkowe-consulting-tax-sp-z-o-o,Biuro Rachunkowe CONSULTING-TAX sp. z o.o.,biuro@consulting-tax.com,502 410 831,https://consulting-tax.com,wieloosobowe,stacjonarnie,2,3,/images/hero-accountant.jpg,medium
biuro-rachunkowe-capital-sp-z-o-o,Biuro Rachunkowe Capital Sp. z o. o.,biurorachunkowe.capital@gmail.com,61 865 35 20,https://br-capital.pl,wieloosobowe,hybrydowo,4,3,/images/hero-accountant.jpg,high
biuro-rachunkowe-clear-finance-sp-z-o-o,Biuro Rachunkowe Clear Finance Sp. z o.o.,biuro@clearfinance.com.pl,533 854 335,https://clearfinance.com.pl,wieloosobowe,stacjonarnie,3,3,/images/hero-accountant.jpg,high
biuro-rachunkowe-dino,Biuro Rachunkowe Dino,dino@dino.poznan.pl,61 862 27 86,https://dino.poznan.pl,wieloosobowe,stacjonarnie,2,3,/images/hero-accountant.jpg,medium
biuro-rachunkowe-ekonomik,Biuro Rachunkowe EKONOMIK,biuro@ekonomiksc.pl,602 330 036,https://ekonomiksc.pl,wieloosobowe,hybrydowo,6,3,https://ekonomiksc.pl/wp-content/uploads/2025/07/latarnia.jpg,high
biuro-rachunkowe-elzbieta-wawrzyniak,Biuro Rachunkowe Elżbieta Wawrzyniak,office@wawrzyniakbiuro.pl,61 222 59 82,https://wawrzyniakbiuro.pl,wieloosobowe,stacjonarnie,3,3,http://www.wawrzyniakbiuro.pl/wp-content/uploads/img/wawrzyniak_logo.png,high
biuro-rachunkowe-gama-izabela-mitkowska,Biuro Rachunkowe GAMA Izabela Mitkowska,biuro@gama-rachunkowosc.pl,61 828 19 22,https://gama-rachunkowosc.pl,jednoosobowe,stacjonarnie,3,3,/images/hero-accountant.jpg,medium
biuro-rachunkowe-infinitum-ksiegowosc-e-commerce,Biuro Rachunkowe INFINITUM księgowość e-commerce,biuro@infinitum-biurorachunkowe.pl,504 227 204,https://infinitum-biurorachunkowe.pl,wieloosobowe,hybrydowo,4,3,https://infinitum-biurorachunkowe.pl/wp-content/uploads/2024/02/Biuro-Ksiegowe-Infinitum.jpg,high
biuro-rachunkowe-income-tax-weronika-greda,Biuro Rachunkowe Income Tax Weronika Gręda,biuro@incometax.pl,574 799 944,https://pl-pl.facebook.com,nieokreslone,stacjonarnie,3,3,/images/hero-accountant.jpg,low
biuro-rachunkowe-jw,Biuro Rachunkowe JW,biuro@biurorachunkowejw.pl,665 106 769,https://biurorachunkowejw.pl,wieloosobowe,hybrydowo,4,3,/images/hero-accountant.jpg,high
biuro-rachunkowe-kmt-finance,Biuro Rachunkowe KMT Finance,office@kmtfinance.pl,503 074 732,https://kmtfinance.pl,wieloosobowe,hybrydowo,5,3,/images/hero-accountant.jpg,high
biuro-rachunkowe-krzysztof-bejgerowski,Biuro Rachunkowe Krzysztof Bejgerowski,biuro@brkb.pl,61 821 50 21,https://brkb.pl,wieloosobowe,stacjonarnie,4,3,/images/hero-accountant.jpg,medium
biuro-rachunkowe-kurdynowski-ksiegowosc-poznan,Biuro Rachunkowe Kurdynowski Księgowość Poznań,poznan@kurdynowski.pl,696 392 727,https://kurdynowski.com.pl,wieloosobowe,hybrydowo,6,3,https://kurdynowski.com.pl/wp-content/uploads/2026/02/image-95ca996c-0c91-4e5b-9637-3efa1cf6bb91.jpeg,high
