slug,displayName,teamType,status,localhostUrl
accounting-office-rachunkovnia-sp-o-o,Accounting Office Rachunkovnia sp. O.o,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=accounting-office-rachunkovnia-sp-o-o
ak-plus-biuro-rachunkowe-anna-klupczynska,AK-PLUS Biuro Rachunkowe Anna Klupczyńska,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=ak-plus-biuro-rachunkowe-anna-klupczynska
akama-dorota-wysocka,AKAMA Dorota Wysocka,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=akama-dorota-wysocka
am-kancelaria-rachunkowa-sp-z-o-o,AM Kancelaria Rachunkowa Sp. z o.o,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=am-kancelaria-rachunkowa-sp-z-o-o
amida-biuro-rachunkowe,AMIDA. Biuro rachunkowe,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=amida-biuro-rachunkowe
ankrys-us-ugi-ksiegowo-podatkowe-katarzyna-farbisz-ma-gorzata,Ankrys Usługi Księgowo-Podatkowe Katarzyna Farbisz Małgorzata,jednoosobowe,PASS,http://127.0.0.1:3000/?biuro=ankrys-us-ugi-ksiegowo-podatkowe-katarzyna-farbisz-ma-gorzata
as-ksiegowosc-sp-z-o-o,AS KSIĘGOWOŚĆ SP. Z O.O,wieloosobowe,WARN,http://127.0.0.1:3000/?biuro=as-ksiegowosc-sp-z-o-o
ascs-consulting-biuro-rachunkowe,ASCS-Consulting Biuro Rachunkowe,nieokreslone,PASS,http://127.0.0.1:3000/?biuro=ascs-consulting-biuro-rachunkowe
awm-zarzadzanie-rachunkowoscia-spo-ka-z-o-o,AWM Zarządzanie Rachunkowością Spółka z o.o,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=awm-zarzadzanie-rachunkowoscia-spo-ka-z-o-o
biura-rachunkowe-kryzysowa-ksiegowa-i-wspolnicy-malwowa-ksiegowa-z,"Biura Rachunkowe Kryzysowa księgowa i wspólnicy, Malwowa, Księgowa z",wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biura-rachunkowe-kryzysowa-ksiegowa-i-wspolnicy-malwowa-ksiegowa-z
biuro-ksiegowe,BIURO KSIĘGOWE,nieokreslone,PASS,http://127.0.0.1:3000/?biuro=biuro-ksiegowe
biuro-ksiegowe-point,Biuro księgowe POINT,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-ksiegowe-point
biuro-nix-us-ugi-ksiegowe-sp-z-o-o,BIURO-NIX Usługi Księgowe Sp.z o.o,jednoosobowe,FAIL,http://127.0.0.1:3000/?biuro=biuro-nix-us-ugi-ksiegowe-sp-z-o-o
biuro-prawno-rachunkowe-maciej-skorupinski,Biuro Prawno-Rachunkowe Maciej Skorupiński,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-prawno-rachunkowe-maciej-skorupinski
biuro-rachunkowe,Biuro Rachunkowe,wieloosobowe,WARN,http://127.0.0.1:3000/?biuro=biuro-rachunkowe
biuro-rachunkowe-2,Biuro rachunkowe,wieloosobowe,WARN,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-2
biuro-rachunkowe-ad-plus,Biuro Rachunkowe AD-plus,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-ad-plus
biuro-rachunkowe-adler,Biuro rachunkowe Adler,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-adler
biuro-rachunkowe-agnieszka-miskiewicz,Biuro Rachunkowe Agnieszka Miśkiewicz,jednoosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-agnieszka-miskiewicz
biuro-rachunkowe-agus-agnieszka-augustyniak,Biuro Rachunkowe AGUS Agnieszka Augustyniak,jednoosobowe,WARN,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-agus-agnieszka-augustyniak
biuro-rachunkowe-algor,Biuro Rachunkowe Algor,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-algor
biuro-rachunkowe-aneta-milewska-koz-owska-ksiegowosc-us-ugi-ksiegowe,Biuro Rachunkowe Aneta Milewska- Kozłowska Księgowość Usługi Księgowe,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-aneta-milewska-koz-owska-ksiegowosc-us-ugi-ksiegowe
biuro-rachunkowe-atoran,Biuro Rachunkowe Atoran,wieloosobowe,PASS,http://127.0.0.1:3000/?biuro=biuro-rachunkowe-atoran
