slug,status,severity,code,details
ak-plus-biuro-rachunkowe-anna-klupczynska,OK,ok,ok,
akama-dorota-wysocka,OK,ok,ok,
am-kancelaria-rachunkowa-sp-z-o-o,OK,ok,ok,
amida-biuro-rachunkowe,OK,ok,ok,
as-ksiegowosc-sp-z-o-o,OK,ok,ok,
ascs-consulting-biuro-rachunkowe,OK,ok,ok,
awm-zarzadzanie-rachunkowoscia-spo-ka-z-o-o,OK,ok,ok,
accounting-office-rachunkovnia-sp-o-o,OK,ok,ok,
ankrys-us-ugi-ksiegowo-podatkowe-katarzyna-farbisz-ma-gorzata,OK,ok,ok,
biuro-ksiegowe,OK,ok,ok,
biuro-rachunkowe-dm-sp-z-oo,OK,ok,ok,
biuro-nix-us-ugi-ksiegowe-sp-z-o-o,OK,ok,ok,
biura-rachunkowe-kryzysowa-ksiegowa-i-wspolnicy-malwowa-ksiegowa-z,OK,ok,ok,
biuro-prawno-rachunkowe-maciej-skorupinski,OK,ok,ok,
biuro-rachunkowe,OK,ok,ok,
biuro-rachunkowe-ad-plus,OK,ok,ok,
biuro-rachunkowe-agus-agnieszka-augustyniak,OK,ok,ok,
biuro-rachunkowe-agnieszka-miskiewicz,OK,ok,ok,
biuro-rachunkowe-algor,OK,ok,ok,
biuro-rachunkowe-aneta-milewska-koz-owska-ksiegowosc-us-ugi-ksiegowe,OK,ok,ok,
biuro-rachunkowe-atoran,OK,ok,ok,
biuro-rachunkowe-b-b-i,OK,ok,ok,
biuro-rachunkowe-brkm,OK,ok,ok,
biuro-rachunkowe-consulting-tax-sp-z-o-o,OK,ok,ok,
biuro-rachunkowe-capital-sp-z-o-o,OK,ok,ok,
biuro-rachunkowe-clear-finance-sp-z-o-o,OK,ok,ok,
biuro-rachunkowe-dino,OK,ok,ok,
biuro-rachunkowe-ekonomik,OK,ok,ok,
biuro-rachunkowe-elzbieta-wawrzyniak,OK,ok,ok,
biuro-rachunkowe-gama-izabela-mitkowska,OK,ok,ok,
biuro-rachunkowe-infinitum-ksiegowosc-e-commerce,OK,ok,ok,
biuro-rachunkowe-income-tax-weronika-greda,OK,ok,ok,
biuro-rachunkowe-jw,OK,ok,ok,
biuro-rachunkowe-kmt-finance,OK,ok,ok,
biuro-rachunkowe-krzysztof-bejgerowski,OK,ok,ok,
biuro-rachunkowe-kurdynowski-ksiegowosc-poznan,OK,ok,ok,
biuro-rachunkowe-lmb-office,OK,ok,ok,
biuro-rachunkowe-m-team,OK,ok,ok,
biuro-rachunkowe-mk-paw-owscy,OK,ok,ok,
biuro-rachunkowe-mk-bilans,OK,ok,ok,
biuro-rachunkowe-mm-accounting-sp-z-o-o,OK,ok,ok,
biuro-rachunkowe-ms-monika-stefaniak-poznan,OK,ok,ok,
biuro-rachunkowe-merito-poznan,OK,ok,ok,
biuro-rachunkowe-natalia-wanat,OK,ok,ok,
biuro-rachunkowe-pit,OK,ok,ok,
biuro-rachunkowe-pitownik-aneta-sniatkowska,OK,ok,ok,
biuro-rachunkowe-punkt-sp-z-o-o,OK,ok,ok,
biuro-rachunkowe-poznan,OK,ok,ok,
biuro-rachunkowe-poznan-2,OK,ok,ok,
biuro-rachunkowe-poznan-3,OK,ok,ok,
biuro-rachunkowe-poznan-kz,OK,ok,ok,
biuro-rachunkowe-poznan-drd,OK,ok,ok,
biuro-rachunkowe-poznan-jozwicki-partners,OK,ok,ok,
biuro-rachunkowe-poznan-noblesse,OK,ok,ok,
biuro-rachunkowe-sodelis,OK,ok,ok,
biuro-rachunkowe-stefanska-anna,OK,ok,ok,
biuro-rachunkowe-taxo,OK,ok,ok,
biuro-rachunkowe-value-business,OK,ok,ok,
biuro-rachunkowe-wera,OK,ok,ok,
biuro-rachunkowe-doradztwo-podatkowe,OK,ok,ok,
biuro-ksiegowe-point,OK,ok,ok,
biuro-rachunkowe-2,OK,ok,ok,
biuro-rachunkowe-atp,OK,ok,ok,
biuro-rachunkowe-adler,OK,ok,ok,
biuro-rachunkowe-infi,OK,ok,ok,
biuro-rachunkowe-kaizen-mateusz-baczyk,OK,ok,ok,
biuro-rachunkowe-molard,OK,ok,ok,
biuro-rachunkowe-poznan-nowoczesne-systemy-finansowe,OK,ok,ok,
biuro-rachunkowe-pro-progress,OK,ok,ok,
biuro-rozliczen-zagranicznych,OK,ok,ok,
business-profit-biuro-rachunkowe,OK,ok,ok,
centrum-us-ug-rachunkowych,OK,ok,ok,
certyfikowane-biuro-rachunkowe-rzis-pl,OK,ok,ok,
fakturtax-biuro-rachunkowe-poznan,OK,ok,ok,
ferma-cyfr,OK,ok,ok,
fineko-accounting-poznan,OK,ok,ok,
g-tax,OK,ok,ok,
