slug,severity,code,details
am-kancelaria-rachunkowa-sp-z-o-o,ok,ok,
biuro-rachunkowe-atoran,ok,ok,
biuro-rachunkowe-capital-sp-z-o-o,ok,ok,
biuro-rachunkowe-clear-finance-sp-z-o-o,ok,ok,
biuro-rachunkowe-ekonomik,ok,ok,
biuro-rachunkowe-income-tax-weronika-greda,ok,ok,
biuro-rachunkowe-m-team,ok,ok,
biuro-rachunkowe-pitownik-aneta-sniatkowska,ok,ok,
biuro-rachunkowe-poznan,ok,ok,
biuro-rachunkowe-poznan-2,ok,ok,
biuro-rachunkowe-taxo,ok,ok,
biuro-rachunkowe-value-business,ok,ok,
biuro-rachunkowe-wera,ok,ok,
booq-sp-z-o-o,ok,ok,
business-profit-biuro-rachunkowe,ok,ok,
certyfikowane-biuro-rachunkowe-rzis-pl,ok,ok,
honett-us-ugi-ksiegowe-donata-kochanska,ok,ok,
in-plus-tax,ok,ok,
invoice-tax,ok,ok,
kancelaria-gospodarcza-szatkowscy-i-wspolnicy-sp-z-o-o,ok,ok,
kancelaria-podatkowa-andrzej-nowak-sp-z-o-o,ok,ok,
kancelaria-rachunkowa-denarius-sp-z-o-o,ok,ok,
kancelaria-us-ug-ksiegowych-tyniec-partnerzy,ok,ok,
magdalena-mielcarek,ok,ok,
optimum-accounting-office-poznan,ok,ok,
pg-partner-gospodarczy,ok,ok,
sobieraj-i-kuzmin-sp-z-o-o-biuro-rachunkowe-poznan,ok,ok,
taxcoach-sp-z-o-o-biuro-rachunkowe,ok,ok,
taxeo-accounting-office-poznan,ok,ok,
taxshield-biuro-rachunkowe-online,ok,ok,
