slug,status,http,displayName,heroImage,logoUrl,teamCount,issues
accounting-office-rachunkovnia-sp-o-o,PASS,200,Accounting Office Rachunkovnia,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
ak-plus-biuro-rachunkowe-anna-klupczynska,PASS,200,AK-PLUS Biuro Rachunkowe Anna Klupczyńska,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
akama-dorota-wysocka,PASS,200,AKAMA Dorota Wysocka,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
am-kancelaria-rachunkowa-sp-z-o-o,PASS,200,AM Kancelaria Rachunkowa,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
amida-biuro-rachunkowe,PASS,200,AMIDA. Biuro rachunkowe,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
ankrys-us-ugi-ksiegowo-podatkowe-katarzyna-farbisz-ma-gorzata,PASS,200,Ankrys Biuro Rachunkowe,/images/solo-female-owner.jpg?v=1,https://ankrysbiuro.pl/wp-content/uploads/2023/06/ankrys-logo-400x121-1.svg,1,
as-ksiegowosc-sp-z-o-o,PASS,200,AS KSIĘGOWOŚĆ,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
ascs-consulting-biuro-rachunkowe,PASS,200,ASCS-Consulting Biuro Rachunkowe,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
awm-zarzadzanie-rachunkowoscia-spo-ka-z-o-o,PASS,200,AWM Zarządzanie Rachunkowością z o.o,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biura-rachunkowe-kryzysowa-ksiegowa-i-wspolnicy-malwowa-ksiegowa-z,PASS,200,Biura Rachunkowe Kryzysowa księgowa i wspólnicy,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-ksiegowe,PASS,200,BIURO KSIĘGOWE,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-ksiegowe-point,PASS,200,Biuro księgowe POINT,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-nix-us-ugi-ksiegowe-sp-z-o-o,PASS,200,BIURO-NIX Usługi Księgowe,/images/solo-female-owner.jpg?v=1,/images/logo-biuro-default.svg,1,
biuro-prawno-rachunkowe-maciej-skorupinski,PASS,200,Biuro Prawno-Rachunkowe Maciej Skorupiński,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe,PASS,200,Biuro Rachunkowe,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-2,PASS,200,Biuro rachunkowe,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-ad-plus,PASS,200,Biuro Rachunkowe AD-plus,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-adler,PASS,200,Biuro rachunkowe Adler,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-agnieszka-miskiewicz,PASS,200,Biuro Rachunkowe Agnieszka Miśkiewicz,/images/solo-female-owner.jpg?v=1,https://br-miskiewicz.pl/img/logo-2.png,1,
biuro-rachunkowe-agus-agnieszka-augustyniak,PASS,200,Biuro Rachunkowe AGUS,/images/solo-female-owner.jpg?v=1,https://agus-biurorachunkowe.com.pl/img/logo.png,1,
biuro-rachunkowe-algor,PASS,200,Biuro Rachunkowe Algor,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-aneta-milewska-koz-owska-ksiegowosc-us-ugi-ksiegowe,PASS,200,Biuro Rachunkowe Aneta Milewska- Kozłowska,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-atoran,PASS,200,Biuro Rachunkowe Atoran,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-atp,PASS,200,Biuro rachunkowe ATP,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-b-b-i,PASS,200,Biuro Rachunkowe B&B I,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-brkm,PASS,200,Biuro Rachunkowe BRKM,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-capital-sp-z-o-o,PASS,200,Biuro Rachunkowe Capital,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-clear-finance-sp-z-o-o,PASS,200,Biuro Rachunkowe Clear Finance,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-consulting-tax-sp-z-o-o,PASS,200,Biuro Rachunkowe CONSULTING-TAX,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-dino,PASS,200,Biuro Rachunkowe Dino,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-dm-sp-z-oo,PASS,200,BIURO RACHUNKOWE DM,/images/solo-female-owner.jpg?v=1,/images/logo-biuro-default.svg,1,
biuro-rachunkowe-doradztwo-podatkowe,PASS,200,"Biuro Rachunkowe, doradztwo podatkowe",/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-ekonomik,PASS,200,Biuro Rachunkowe EKONOMIK,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-elzbieta-wawrzyniak,PASS,200,Biuro Rachunkowe Elżbieta Wawrzyniak,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-gama-izabela-mitkowska,PASS,200,Biuro Rachunkowe GAMA,/images/solo-female-owner.jpg?v=1,https://gama-rachunkowosc.pl/wp-content/uploads/2021/08/gama_logo-1.png,1,
biuro-rachunkowe-income-tax-weronika-greda,PASS,200,Biuro Rachunkowe Income Tax Weronika Gręda,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-infi,PASS,200,Biuro rachunkowe Infi,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-infinitum-ksiegowosc-e-commerce,PASS,200,Biuro Rachunkowe INFINITUM księgowość e-commerce,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-jw,PASS,200,Biuro Rachunkowe JW,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-kaizen-mateusz-baczyk,PASS,200,Biuro rachunkowe KAIZEN Mateusz Bączyk,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
biuro-rachunkowe-kmt-finance,PASS,200,Biuro Rachunkowe KMT Finance,/images/team-hero-group.jpg?v=1,/images/logo-biuro-default.svg,3,
